,cnn_intrsctn_fkey,cnn_sgmt_fkey,ped_action,number_injured,number_killed
212,34026000,14019001.0,Crossing in Crosswalk at Intersection,1,0.0
213,24450000,,No Pedestrian Involved,4,0.0
214,25343000,,"In Road, Including Shoulder",1,0.0
215,26260000,4067000.0,Not Stated,1,0.0
216,26042000,,No Pedestrian Involved,0,1.0
217,24514000,6809000.0,"In Road, Including Shoulder",1,0.0
218,26050000,,No Pedestrian Involved,1,0.0
219,26347000,5456000.0,No Pedestrian Involved,1,0.0
220,24350000,513000.0,No Pedestrian Involved,1,0.0
221,24429000,8752201.0,No Pedestrian Involved,1,0.0
222,26621000,,No Pedestrian Involved,1,0.0
223,26540000,,No Pedestrian Involved,2,0.0
224,21893000,,No Pedestrian Involved,1,0.0
225,25197000,,No Pedestrian Involved,1,0.0
226,25170000,6116000.0,Crossing Not in Crosswalk,1,0.0
227,25814000,8768201.0,Not Stated,1,0.0
228,27839000,,No Pedestrian Involved,2,0.0
229,26551000,,No Pedestrian Involved,1,0.0
230,27232000,,No Pedestrian Involved,1,0.0
231,30733000,,No Pedestrian Involved,1,0.0
232,27909000,1929000.0,Not Stated,1,0.0
233,30735000,,No Pedestrian Involved,1,0.0
234,25192000,,Crossing in Crosswalk at Intersection,1,0.0
235,21712000,,No Pedestrian Involved,1,0.0
236,25226000,13157101.0,No Pedestrian Involved,1,0.0
237,24922000,6259000.0,No Pedestrian Involved,1,0.0
238,23773000,10994000.0,No Pedestrian Involved,1,0.0
239,33270000,2550000.0,No Pedestrian Involved,1,0.0
240,20765000,,No Pedestrian Involved,1,0.0
241,23944000,7039001.0,No Pedestrian Involved,1,0.0
242,26576000,6471000.0,No Pedestrian Involved,1,0.0
243,26674000,,No Pedestrian Involved,1,0.0
244,26193000,4141000.0,No Pedestrian Involved,1,0.0
245,22614000,3130000.0,No Pedestrian Involved,1,0.0
246,24696000,,"In Road, Including Shoulder",1,0.0
247,24388000,,No Pedestrian Involved,1,0.0
248,24880000,12559101.0,No Pedestrian Involved,1,0.0
249,27263000,5917000.0,No Pedestrian Involved,1,0.0
250,23553000,,No Pedestrian Involved,1,0.0
251,25301000,10570000.0,No Pedestrian Involved,1,0.0
252,24180000,726000.0,Crossing Not in Crosswalk,1,0.0
253,25703000,,No Pedestrian Involved,1,0.0
254,24541000,7033000.0,No Pedestrian Involved,1,0.0
255,25906000,9751000.0,No Pedestrian Involved,1,0.0
256,24942000,12430000.0,"In Road, Including Shoulder",1,0.0
257,25565000,7144000.0,No Pedestrian Involved,1,0.0
258,22435000,10613201.0,No Pedestrian Involved,1,0.0
259,32859000,184101.0,No Pedestrian Involved,1,0.0
260,23881000,,Not in Road,1,0.0
261,24209000,,No Pedestrian Involved,3,0.0
262,26706000,,No Pedestrian Involved,1,0.0
263,24605000,131000.0,No Pedestrian Involved,1,0.0
264,50078000,374001.0,No Pedestrian Involved,2,0.0
265,24315000,366001.0,No Pedestrian Involved,1,0.0
266,26695000,,No Pedestrian Involved,2,0.0
267,27635000,3596000.0,No Pedestrian Involved,1,0.0
268,24414000,484000.0,No Pedestrian Involved,1,0.0
269,26722000,,No Pedestrian Involved,1,0.0
270,33118000,5331101.0,No Pedestrian Involved,1,0.0
271,24429000,8752201.0,No Pedestrian Involved,9,0.0
272,24560000,5860000.0,No Pedestrian Involved,2,0.0
273,26347000,8852000.0,No Pedestrian Involved,1,0.0
274,27015000,,No Pedestrian Involved,1,0.0
275,25860000,4982000.0,No Pedestrian Involved,2,0.0
276,32859000,184101.0,"In Road, Including Shoulder",1,0.0
277,27553000,,Not in Road,1,0.0
278,26692000,6510000.0,No Pedestrian Involved,2,0.0
279,20489000,,Crossing Not in Crosswalk,1,0.0
280,33717000,,Crossing in Crosswalk at Intersection,1,0.0
281,27154000,,No Pedestrian Involved,1,0.0
282,24285000,,No Pedestrian Involved,1,0.0
283,21548000,9193000.0,No Pedestrian Involved,1,0.0
284,26715000,,No Pedestrian Involved,2,0.0
285,30735000,8744201.0,Crossing in Crosswalk at Intersection,1,0.0
286,21023000,2800102.0,No Pedestrian Involved,1,0.0
287,20118000,10218000.0,No Pedestrian Involved,1,0.0
288,21328000,,No Pedestrian Involved,1,0.0
289,25971000,6270000.0,No Pedestrian Involved,1,0.0
290,26594000,6042201.0,No Pedestrian Involved,1,0.0
291,21705000,,No Pedestrian Involved,2,0.0
292,20114000,7235000.0,No Pedestrian Involved,2,0.0
293,27441000,,No Pedestrian Involved,1,0.0
294,25222000,,No Pedestrian Involved,2,0.0
295,33221000,,"In Road, Including Shoulder",1,0.0
296,20515000,,No Pedestrian Involved,1,0.0
297,24386000,12017202.0,No Pedestrian Involved,2,0.0
298,24429000,8752201.0,No Pedestrian Involved,1,0.0
299,26067000,,No Pedestrian Involved,1,0.0
300,27519000,,No Pedestrian Involved,1,0.0
301,24123000,,No Pedestrian Involved,1,0.0
302,26514000,7963000.0,Not Stated,1,0.0
303,21849000,1667000.0,No Pedestrian Involved,1,0.0
304,24450000,13145101.0,No Pedestrian Involved,1,0.0
305,20213000,209101.0,Crossing Not in Crosswalk,1,0.0
306,33407000,7707101.0,No Pedestrian Involved,1,0.0
307,22982000,478000.0,No Pedestrian Involved,1,0.0
308,23418000,12283201.0,No Pedestrian Involved,1,0.0
309,20574000,2814000.0,Crossing Not in Crosswalk,1,0.0
310,27628000,,No Pedestrian Involved,1,0.0
311,26004000,3784000.0,No Pedestrian Involved,1,0.0
312,22554000,,No Pedestrian Involved,2,0.0
313,23183000,920201.0,No Pedestrian Involved,5,0.0
314,30727000,8737102.0,No Pedestrian Involved,2,0.0
315,21023000,,No Pedestrian Involved,1,0.0
316,25804000,,Crossing Not in Crosswalk,1,0.0
317,24541000,7033000.0,"In Road, Including Shoulder",1,0.0
318,25173000,,"In Road, Including Shoulder",1,0.0
319,27612000,493000.0,No Pedestrian Involved,1,0.0
320,23941000,,No Pedestrian Involved,1,0.0
321,24192000,,No Pedestrian Involved,1,0.0
322,20108000,3634000.0,No Pedestrian Involved,1,0.0
323,24022000,,No Pedestrian Involved,1,0.0
324,27364000,,No Pedestrian Involved,1,0.0
325,20687000,7498000.0,Not in Road,1,0.0
326,26349000,,No Pedestrian Involved,1,0.0
327,22895000,,Crossing in Crosswalk at Intersection,1,0.0
328,23796000,,Not Stated,1,0.0
329,23308000,8045101.0,No Pedestrian Involved,1,0.0
330,21084000,,Crossing in Crosswalk at Intersection,1,0.0
331,23149000,11951201.0,No Pedestrian Involved,2,0.0
332,30732000,8742201.0,No Pedestrian Involved,1,0.0
333,23952000,10672000.0,No Pedestrian Involved,1,0.0
334,23548000,,No Pedestrian Involved,1,0.0
335,27546000,2671000.0,No Pedestrian Involved,1,0.0
336,23953000,10672000.0,No Pedestrian Involved,2,0.0
337,25523000,5762000.0,No Pedestrian Involved,1,0.0
338,24892000,,Crossing in Crosswalk at Intersection,1,0.0
339,25184000,13148101.0,No Pedestrian Involved,1,0.0
340,20945000,8674101.0,No Pedestrian Involved,1,0.0
341,30727000,,No Pedestrian Involved,1,0.0
342,23812000,12659000.0,No Pedestrian Involved,1,0.0
343,26105000,8776203.0,No Pedestrian Involved,1,0.0
344,26570000,9895000.0,Not Stated,2,0.0
345,27279000,5914000.0,No Pedestrian Involved,1,0.0
346,23908000,6719000.0,No Pedestrian Involved,1,0.0
347,23435000,13265000.0,No Pedestrian Involved,1,0.0
348,24349000,5685000.0,No Pedestrian Involved,1,0.0
349,21740000,2165201.0,No Pedestrian Involved,1,0.0
350,26621000,6044201.0,Not in Road,1,0.0
351,23780000,784000.0,No Pedestrian Involved,1,0.0
352,32859000,184101.0,No Pedestrian Involved,2,0.0
353,27757000,,No Pedestrian Involved,1,0.0
354,24183000,,Crossing in Crosswalk at Intersection,1,0.0
355,20773000,2803000.0,No Pedestrian Involved,1,0.0
356,33737000,8054201.0,No Pedestrian Involved,2,0.0
357,33104000,7469000.0,No Pedestrian Involved,1,0.0
358,24324000,8237000.0,Not in Road,1,0.0
359,23821000,266000.0,No Pedestrian Involved,1,0.0
360,21768000,9160000.0,No Pedestrian Involved,1,0.0
361,32859000,,No Pedestrian Involved,1,0.0
362,27086000,,No Pedestrian Involved,1,0.0
363,22840000,10618201.0,"In Road, Including Shoulder",1,0.0
364,21296000,,Not Stated,1,0.0
365,52166000,516000.0,Not in Road,1,0.0
366,26494000,10384000.0,No Pedestrian Involved,1,0.0
367,30729000,,No Pedestrian Involved,1,0.0
368,24892000,8746201.0,No Pedestrian Involved,1,0.0
369,22437000,13717101.0,No Pedestrian Involved,1,0.0
370,25676000,,Not Stated,1,0.0
371,23506000,,"In Road, Including Shoulder",1,0.0
372,22162000,9276101.0,No Pedestrian Involved,1,0.0
373,25987000,12116000.0,No Pedestrian Involved,1,0.0
374,24463000,,No Pedestrian Involved,4,0.0
375,26383000,,Not Stated,1,0.0
376,27837000,,Not Stated,1,0.0
377,20472000,227201.0,Crossing in Crosswalk at Intersection,2,0.0
378,23897000,,No Pedestrian Involved,1,0.0
379,20219000,,No Pedestrian Involved,1,0.0
380,24696000,2761000.0,No Pedestrian Involved,1,0.0
381,23006000,,No Pedestrian Involved,1,0.0
382,26943000,3570000.0,No Pedestrian Involved,1,0.0
383,25530000,8268000.0,No Pedestrian Involved,1,0.0
384,25475000,12561101.0,No Pedestrian Involved,1,0.0
385,24314000,9104000.0,"In Road, Including Shoulder",3,0.0
